id_parroquia|nombre_parroquia|
88836|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88837|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88838|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88839|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88840|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88841|EL SAGRARIO|
88842|TONSUPA|
88843|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88844|COLONCHE|
88845|HUAYNACÁPAC|
88846|CUMBAYÁ|
88847|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88848|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88849|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88850|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88851|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88852|GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL|
88853|GIL RAMÍREZ DÁVALOS|
88854|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88855|EL SAGRARIO|
88856|SUCRE|
88857|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88858|TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88859|SEVILLA DON BOSCO|
88860|QUITO|
88861|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88862|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88863|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
88864|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88865|SAN BLAS|
88866|GUALACEO, CABECERA CANTONAL|
88867|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88868|GUALACEO, CABECERA CANTONAL|
88869|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
88870|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88871|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88872|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88873|PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88874|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88875|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88876|GUALACEO, CABECERA CANTONAL|
88877|SANGOLQUÍ, CABECERA CANTONAL|
88878|ALANGASÍ|
88879|ALANGASÍ|
88880|QUITO|
88881|JESUS MARIA|
88882|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88883|EL SAGRARIO|
88884|MONAY|
88885|EL BATÁN|
88886|LA JOYA DE LOS SACHAS, CABECERA CANTONAL|
88887|BUENAVISTA|
88888|QUITO|
88889|QUITO|
88890|HUAYNACÁPAC|
88891|GIRÓN, CABECERA CANTONAL|
88892|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88893|GIL RAMÍREZ DÁVALOS|
88894|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88895|SINAI|
88896|MILTON REYES|
88897|LA DOLOROSA DEL PRIORATO|
88898|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88899|SAN SEBASTIÁN|
88900|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88901|SAN FRANCISCO DE CHINIMBIMI|
88902|CHORDELEG, CABECERA CANTONAL|
88903|GUALACEO, CABECERA CANTONAL|
88904|GUALACEO, CABECERA CANTONAL|
88905|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88906|GIRÓN, CABECERA CANTONAL|
88907|QUITO|
88908|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88909|SUCÚA, CABECERA CANTONAL|
88910|QUITO|
88911|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88912|FATIMA|
88913|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88914|SANGOLQUÍ, CABECERA CANTONAL|
88915|SANGOLQUÍ, CABECERA CANTONAL|
88916|QUITO|
88917|QUITO|
88918|EL CHACO, CABECERA CANTONAL|
88919|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88920|GUALACEO, CABECERA CANTONAL|
88921|HUAYNACÁPAC|
88922|GUALACEO, CABECERA CANTONAL|
88923|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88924|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88925|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88926|SAYAUSÍ|
88927|SAN BLAS|
88928|EL SAGRARIO|
88929|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88930|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88931|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88932|MILTON REYES|
88933|SEVILLA DE ORO, CABECERA CANTONAL|
88934|CAÑARIBAMBA|
88935|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88936|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88937|RICAURTE|
88938|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88939|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88940|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88941|GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL|
88942|SAN SEBASTIÁN|
88943|LOGROÑO, CABECERA CANTONAL|
88944|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88945|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88946|SAN SEBASTIÁN|
88947|SALINAS, CABECERA CANTONAL|
88948|HUAYNACÁPAC|
88949|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88950|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88951|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88952|BAÑOS|
88953|SAN SEBASTIÁN|
88954|VILCABAMBA (VICTORIA)|
88955|EL SAGRARIO|
88956|QUITO|
88957|EL VECINO|
88958|GIRÓN, CABECERA CANTONAL|
88959|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88960|HUAYNACÁPAC|
88961|GUALAQUIZA, CABECERA CANTONAL|
88962|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88963|MANTA, CABECERA CANTONAL|
88964|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88965|EL VECINO|
88966|EL SAGRARIO|
88967|ZAMORA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88968|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88969|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88970|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88971|GIL RAMÍREZ DÁVALOS|
88972|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88973|SAN SEBASTIÁN|
88974|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88975|EL SAGRARIO|
88976|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88977|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88978|MANGLARALTO|
88979|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88980|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88981|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88982|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88983|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88984|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88985|EL SAGRARIO|
88986|GIL RAMÍREZ DÁVALOS|
88987|SUCRE|
88988|EL SAGRARIO|
88989|SALINAS, CABECERA CANTONAL|
88990|SUCÚA, CABECERA CANTONAL|
88991|PUERTO FRANCISCO DE ORELLANA (EL COCA), CABECERA CANTONAL Y CAPITAL PROVINCIAL|
88992|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88993|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88994|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88995|YANUNCAY|
88996|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
88997|SANGAY (CAB. EN NAYAMANACA)|
88998|PUERTO AYORA, CABECERA CANTONAL|
88999|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89000|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89001|YANUNCAY|
89002|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89003|EL SAGRARIO|
89004|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89005|OÑA, SAN FELIPE DE OÑA CAB CANTONAL|
89006|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89007|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89008|EL SAGRARIO|
89009|SAN BLAS|
89010|JOSE LUIS TAMAYO (MUEY)|
89011|JESUS MARIA|
89012|EL SAGRARIO|
89013|PAUTE, CABECERA CANTONAL|
89014|EL SAGRARIO|
89015|PUERTO QUITO, CABECERA CANTONAL|
89016|SIGSIG, CABECERA CANTONAL|
89017|LA TRONCAL, CABECERA CANTONAL|
89018|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89019|SAN SEBASTIÁN|
89020|EL BATÁN|
89021|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89022|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89023|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89024|SAN SEBASTIÁN|
89025|GUALACEO, CABECERA CANTONAL|
89026|SAN BLAS|
89027|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89028|MONAY|
89029|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89030|SIGSIG, CABECERA CANTONAL|
89031|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89032|PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89033|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89034|EL SAGRARIO|
89035|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89036|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89037|PUERTO BOLÍVAR|
89038|TARQUI|
89039|VINCES, CABECERA CANTONAL|
89040|BIBLIÁN, CABECERA CANTONAL|
89041|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89042|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89043|SAN BLAS|
89044|HUAYNACÁPAC|
89045|HUAYNACÁPAC|
89046|SANGOLQUÍ, CABECERA CANTONAL|
89047|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89048|SAN BLAS|
89049|GUALACEO, CABECERA CANTONAL|
89050|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89051|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89052|QUITO|
89053|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89054|GIL RAMÍREZ DÁVALOS|
89055|SUCRE|
89056|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89057|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89058|EL SAGRARIO|
89059|TURI|
89060|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89061|QUITO|
89062|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89063|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89064|EL SAGRARIO|
89065|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89066|MATRIZ|
89067|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89068|BAÑOS|
89069|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89070|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89071|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|
89072|PUERTO LÓPEZ, CABECERA CANTONAL|
89073|SAN SEBASTIÁN|
89074|SEVILLA DE ORO, CABECERA CANTONAL|
89075|HUAYNACÁPAC|
89076|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89077|SALINAS, CABECERA CANTONAL|
89078|QUITO|
89079|SAN SEBASTIÁN|
89080|RICAURTE|
89081|VICTORIA DEL PORTETE (IRQUIS)|
89082|ABDÓN CALDERÓN (LA UNIÓN)|
89083|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89084|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89085|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89086|PAUTE, CABECERA CANTONAL|
89087|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89088|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89089|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89090|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89091|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|
89092|CAÑARIBAMBA|
89093|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|
89094|SAN SEBASTIÁN|
89095|GIL RAMÍREZ DÁVALOS|
